"SEX","GEO","UNIT","TIME","AGE","ICD10","Value","Flag and Footnotes"
"Total","Belgium","Rate","2011","Total","All causes of death (A00-Y89) excluding S00-T98","1,023.02",""
"Total","Belgium","Rate","2011","Total","Certain infectious and parasitic diseases (A00-B99)","23.54",""
"Total","Belgium","Rate","2011","Total","Tuberculosis","0.48",""
"Total","Belgium","Rate","2011","Total","Viral hepatitis and sequelae of viral hepatitis","0.89",""
"Total","Belgium","Rate","2011","Total","Human immunodeficiency virus [HIV] disease","0.41",""
"Total","Belgium","Rate","2011","Total","Other infectious and parasitic diseases (remainder of A00-B99)","21.76",""
"Total","Belgium","Rate","2011","Total","Neoplasms","276.72",""
"Total","Belgium","Rate","2011","Total","Malignant neoplasms (C00-C97)","267.56",""
"Total","Belgium","Rate","2011","Total","Malignant neoplasm of lip, oral cavity, pharynx","5.08",""
"Total","Belgium","Rate","2011","Total","Malignant neoplasm of oesophagus","6.71",""
"Total","Belgium","Rate","2011","Total","Malignant neoplasm of stomach","7.92",""
"Total","Belgium","Rate","2011","Total","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","28.98",""
"Total","Belgium","Rate","2011","Total","Malignant neoplasm of liver and intrahepatic bile ducts","8.36",""
"Total","Belgium","Rate","2011","Total","Malignant neoplasm of pancreas","16.12",""
"Total","Belgium","Rate","2011","Total","Malignant neoplasm of larynx","1.83",""
"Total","Belgium","Rate","2011","Total","Malignant neoplasm of trachea, bronchus and lung","65.56",""
"Total","Belgium","Rate","2011","Total","Malignant melanoma of skin","3.42",""
"Total","Belgium","Rate","2011","Total","Malignant neoplasm of breast","23.55",""
"Total","Belgium","Rate","2011","Total","Malignant neoplasm of cervix uteri","1.86",""
"Total","Belgium","Rate","2011","Total","Malignant neoplasm of other parts of uterus","3.62",""
"Total","Belgium","Rate","2011","Total","Malignant neoplasm of ovary","6.31",""
"Total","Belgium","Rate","2011","Total","Malignant neoplasm of prostate","14.77",""
"Total","Belgium","Rate","2011","Total","Malignant neoplasm of kidney, except renal pelvis","4.95",""
